aircraft_id,phly_registration,phly_serial,manufacturer,model,manufacturer_year,delivery_year,category,faa_n_number,faa_serial,faa_registrant_name,faa_street,faa_city,faa_state,faa_zip,faa_country,faa_ingestion_date
6501ba81-21b4-50cc-92cf-25d6bc67fd18,N12VP,FL-1172,Beechcraft,King Air 350i,2018,2019,Turboprop,12VP,FL-1172,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
af269082-3558-5537-a2da-9d6b9a1c9641,N213EF,IV-1283,Gulfstream,GIVSP,1996,1996,Large,213EF,1283,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
e7223cdf-302a-5659-92a1-4de6d568deed,N312FU,258545,Beechcraft,Hawker 800XP,2001,2001,Midsize,312FU,258545,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
cab184eb-40ce-50eb-9fce-874caec39b85,N33HG,4698200,Piper,M600 SLS,2022,2022,Turboprop,33HG,4698200,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY #203,BELLINGHAM,WA,98226,US,2026-01-23
52350f34-ba2d-5be5-bb16-e3096e0e6608,N369MU,510-0369,Cessna,Citation Mustang,2011,2011,Light,369MU,510-0369,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
3ee5edeb-2be5-5955-8c16-1471c5d8b027,N435TM,50500435,Embraer,Phenom 300,2017,2017,Light,435TM,50500435,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
7c3c090a-23be-54ca-a853-94f0c38c408d,N542VJ,0542,Cirrus,Vision SF50,2023,2024,Light,542VJ,0542,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
5353bb5f-6e41-5d6e-aeff-08b5c2d2fd17,N604PS,5447,Bombardier,Challenger 604,2000,2000,Super Mid,604PS,5447,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
6775b0b0-a3e6-5f4d-a3ac-62f874a4ff00,N701DB,IV-1036,Gulfstream,GIV,1988,1988,Large,701DB,1036,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY STE 203,BELLINGHAM,WA,98226,US,2026-01-23
f65b9aac-2788-5c4c-bc90-43c6adbd9d02,N707FH,42000069,Hondajet,HA-420,2017,2017,Light,707FH,42000069,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY # 203,BELLINGHAM,WA,98226,US,2026-01-23
d2c34bfe-ebb7-564a-a118-be44a10c99fd,N759SB,510-0403,Cessna,Citation Mustang,2012,2012,Light,759SB,510-0403,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
18cfbf04-c0ec-5731-b18f-313b54dcc4eb,N780KS,5091,Gulfstream,G550,2005,2006,Large,780KS,5091,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
2fe8b943-24e2-5eab-a385-3c6e02c9edc3,N789TS,510-0395,Cessna,Citation Mustang,2012,2012,Light,789TS,510-0395,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
6fd634fb-58e0-5516-8cd8-d8fea54a7fdf,N805EL,208B0998,Cessna,Grand Caravan,2002,2002,Turboprop,805EL,208B0998,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
ee56007b-9919-5c76-a01e-59d5a225db23,N904US,LJ-856,Beechcraft,King Air C90,1979,1979,Turboprop,904US,LJ-856,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
b8c09be8-4308-5657-bd38-e1dc9c061f41,N93LP,LJ-901,Beechcraft,King Air C90,1980,1980,Turboprop,93LP,LJ-901,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY,BELLINGHAM,WA,982269326,US,2026-01-23
cece5829-7f9a-59bb-a70b-0cd6a0403381,N941NC,000008,Eclipse,EA500,2007,2007,Light,941NC,000008,KENMORE CREW LEASING INC TRUSTEE,4340 PACIFIC HWY UNIT 203,BELLINGHAM,WA,982269344,US,2026-01-23
